2026-05-22 17:54:30,092 | INFO    | runner | [train] embedded 50/27309
2026-05-22 17:54:30,093 | INFO    | runner | [train] embedded 100/27309
2026-05-22 17:54:30,094 | INFO    | runner | [train] embedded 150/27309
2026-05-22 17:54:30,095 | INFO    | runner | [train] embedded 200/27309
2026-05-22 17:54:30,096 | INFO    | runner | [train] embedded 250/27309
2026-05-22 17:54:30,097 | INFO    | runner | [train] embedded 300/27309
2026-05-22 17:54:30,098 | INFO    | runner | [train] embedded 350/27309
2026-05-22 17:54:30,099 | INFO    | runner | [train] embedded 400/27309
2026-05-22 17:54:30,100 | INFO    | runner | [train] embedded 450/27309
2026-05-22 17:54:30,101 | INFO    | runner | [train] embedded 500/27309
2026-05-22 17:54:30,102 | INFO    | runner | [train] embedded 550/27309
2026-05-22 17:54:30,102 | INFO    | runner | [train] embedded 600/27309
2026-05-22 17:54:30,103 | INFO    | runner | [train] embedded 650/27309
2026-05-22 17:54:30,104 | INFO    | runner | [train] embedded 700/27309
2026-05-22 17:54:30,105 | INFO    | runner | [train] embedded 750/27309
2026-05-22 17:54:30,106 | INFO    | runner | [train] embedded 800/27309
2026-05-22 17:54:30,107 | INFO    | runner | [train] embedded 850/27309
2026-05-22 17:54:30,108 | INFO    | runner | [train] embedded 900/27309
2026-05-22 17:54:30,109 | INFO    | runner | [train] embedded 950/27309
2026-05-22 17:54:30,109 | INFO    | runner | [train] embedded 1000/27309
2026-05-22 17:54:30,110 | INFO    | runner | [train] embedded 1050/27309
2026-05-22 17:54:30,111 | INFO    | runner | [train] embedded 1100/27309
2026-05-22 17:54:30,112 | INFO    | runner | [train] embedded 1150/27309
2026-05-22 17:54:30,113 | INFO    | runner | [train] embedded 1200/27309
2026-05-22 17:54:30,114 | INFO    | runner | [train] embedded 1250/27309
2026-05-22 17:54:30,115 | INFO    | runner | [train] embedded 1300/27309
2026-05-22 17:54:30,116 | INFO    | runner | [train] embedded 1350/27309
2026-05-22 17:54:30,116 | INFO    | runner | [train] embedded 1400/27309
2026-05-22 17:54:30,117 | INFO    | runner | [train] embedded 1450/27309
2026-05-22 17:54:30,118 | INFO    | runner | [train] embedded 1500/27309
2026-05-22 17:54:30,119 | INFO    | runner | [train] embedded 1550/27309
2026-05-22 17:54:30,120 | INFO    | runner | [train] embedded 1600/27309
2026-05-22 17:54:30,120 | INFO    | runner | [train] embedded 1650/27309
2026-05-22 17:54:30,122 | INFO    | runner | [train] embedded 1700/27309
