2026-05-22 17:53:07,153 | INFO    | runner | [train] embedded 50/27309
2026-05-22 17:53:07,154 | INFO    | runner | [train] embedded 100/27309
2026-05-22 17:53:07,154 | INFO    | runner | [train] embedded 150/27309
2026-05-22 17:53:07,155 | INFO    | runner | [train] embedded 200/27309
2026-05-22 17:53:07,156 | INFO    | runner | [train] embedded 250/27309
2026-05-22 17:53:07,157 | INFO    | runner | [train] embedded 300/27309
2026-05-22 17:53:07,158 | INFO    | runner | [train] embedded 350/27309
2026-05-22 17:53:07,159 | INFO    | runner | [train] embedded 400/27309
2026-05-22 17:53:07,159 | INFO    | runner | [train] embedded 450/27309
2026-05-22 17:53:07,160 | INFO    | runner | [train] embedded 500/27309
2026-05-22 17:53:07,161 | INFO    | runner | [train] embedded 550/27309
2026-05-22 17:53:07,162 | INFO    | runner | [train] embedded 600/27309
2026-05-22 17:53:07,163 | INFO    | runner | [train] embedded 650/27309
2026-05-22 17:53:07,164 | INFO    | runner | [train] embedded 700/27309
2026-05-22 17:53:07,164 | INFO    | runner | [train] embedded 750/27309
2026-05-22 17:53:07,165 | INFO    | runner | [train] embedded 800/27309
2026-05-22 17:53:07,166 | INFO    | runner | [train] embedded 850/27309
2026-05-22 17:53:07,167 | INFO    | runner | [train] embedded 900/27309
2026-05-22 17:53:07,168 | INFO    | runner | [train] embedded 950/27309
2026-05-22 17:53:07,168 | INFO    | runner | [train] embedded 1000/27309
2026-05-22 17:53:07,169 | INFO    | runner | [train] embedded 1050/27309
2026-05-22 17:53:07,170 | INFO    | runner | [train] embedded 1100/27309
2026-05-22 17:53:07,171 | INFO    | runner | [train] embedded 1150/27309
2026-05-22 17:53:07,171 | INFO    | runner | [train] embedded 1200/27309
2026-05-22 17:53:07,172 | INFO    | runner | [train] embedded 1250/27309
2026-05-22 17:53:07,173 | INFO    | runner | [train] embedded 1300/27309
2026-05-22 17:53:07,174 | INFO    | runner | [train] embedded 1350/27309
2026-05-22 17:53:07,175 | INFO    | runner | [train] embedded 1400/27309
2026-05-22 17:53:07,175 | INFO    | runner | [train] embedded 1450/27309
2026-05-22 17:53:07,176 | INFO    | runner | [train] embedded 1500/27309
2026-05-22 17:53:07,177 | INFO    | runner | [train] embedded 1550/27309
2026-05-22 17:53:07,178 | INFO    | runner | [train] embedded 1600/27309
2026-05-22 17:53:07,178 | INFO    | runner | [train] embedded 1650/27309
2026-05-22 17:53:07,179 | INFO    | runner | [train] embedded 1700/27309
2026-05-22 17:53:07,180 | INFO    | runner | [train] embedded 1750/27309
2026-05-22 17:53:07,181 | INFO    | runner | [train] embedded 1800/27309
2026-05-22 17:53:07,182 | INFO    | runner | [train] embedded 1850/27309
2026-05-22 17:53:07,183 | INFO    | runner | [train] embedded 1900/27309
2026-05-22 17:53:07,184 | INFO    | runner | [train] embedded 1950/27309
2026-05-22 17:53:07,185 | INFO    | runner | [train] embedded 2000/27309
2026-05-22 17:53:07,186 | INFO    | runner | [train] embedded 2050/27309
2026-05-22 17:53:07,186 | INFO    | runner | [train] embedded 2100/27309
2026-05-22 17:53:07,187 | INFO    | runner | [train] embedded 2150/27309
2026-05-22 17:53:07,188 | INFO    | runner | [train] embedded 2200/27309
2026-05-22 17:53:07,189 | INFO    | runner | [train] embedded 2250/27309
2026-05-22 17:53:07,189 | INFO    | runner | [train] embedded 2300/27309
2026-05-22 17:53:07,190 | INFO    | runner | [train] embedded 2350/27309
2026-05-22 17:53:07,191 | INFO    | runner | [train] embedded 2400/27309
2026-05-22 17:53:07,192 | INFO    | runner | [train] embedded 2450/27309
2026-05-22 17:53:07,193 | INFO    | runner | [train] embedded 2500/27309
2026-05-22 17:53:07,193 | INFO    | runner | [train] embedded 2550/27309
2026-05-22 17:53:07,194 | INFO    | runner | [train] embedded 2600/27309
2026-05-22 17:53:07,195 | INFO    | runner | [train] embedded 2650/27309
2026-05-22 17:53:07,196 | INFO    | runner | [train] embedded 2700/27309
2026-05-22 17:53:07,197 | INFO    | runner | [train] embedded 2750/27309
2026-05-22 17:53:07,197 | INFO    | runner | [train] embedded 2800/27309
2026-05-22 17:53:07,198 | INFO    | runner | [train] embedded 2850/27309
2026-05-22 17:53:07,199 | INFO    | runner | [train] embedded 2900/27309
2026-05-22 17:53:07,200 | INFO    | runner | [train] embedded 2950/27309
2026-05-22 17:53:07,200 | INFO    | runner | [train] embedded 3000/27309
2026-05-22 17:53:07,201 | INFO    | runner | [train] embedded 3050/27309
2026-05-22 17:53:07,202 | INFO    | runner | [train] embedded 3100/27309
2026-05-22 17:53:07,203 | INFO    | runner | [train] embedded 3150/27309
2026-05-22 17:53:07,204 | INFO    | runner | [train] embedded 3200/27309
2026-05-22 17:53:07,204 | INFO    | runner | [train] embedded 3250/27309
2026-05-22 17:53:07,205 | INFO    | runner | [train] embedded 3300/27309
2026-05-22 17:53:07,206 | INFO    | runner | [train] embedded 3350/27309
2026-05-22 17:53:07,207 | INFO    | runner | [train] embedded 3400/27309
2026-05-22 17:53:07,207 | INFO    | runner | [train] embedded 3450/27309
2026-05-22 17:53:07,208 | INFO    | runner | [train] embedded 3500/27309
2026-05-22 17:53:07,209 | INFO    | runner | [train] embedded 3550/27309
2026-05-22 17:53:07,210 | INFO    | runner | [train] embedded 3600/27309
2026-05-22 17:53:07,211 | INFO    | runner | [train] embedded 3650/27309
2026-05-22 17:53:07,211 | INFO    | runner | [train] embedded 3700/27309
2026-05-22 17:53:07,212 | INFO    | runner | [train] embedded 3750/27309
2026-05-22 17:53:07,213 | INFO    | runner | [train] embedded 3800/27309
2026-05-22 17:53:07,214 | INFO    | runner | [train] embedded 3850/27309
2026-05-22 17:53:07,214 | INFO    | runner | [train] embedded 3900/27309
2026-05-22 17:53:07,216 | INFO    | runner | [train] embedded 3950/27309
2026-05-22 17:53:07,217 | INFO    | runner | [train] embedded 4000/27309
2026-05-22 17:53:07,217 | INFO    | runner | [train] embedded 4050/27309
2026-05-22 17:53:07,218 | INFO    | runner | [train] embedded 4100/27309
2026-05-22 17:53:07,219 | INFO    | runner | [train] embedded 4150/27309
2026-05-22 17:53:07,220 | INFO    | runner | [train] embedded 4200/27309
2026-05-22 17:53:07,221 | INFO    | runner | [train] embedded 4250/27309
2026-05-22 17:53:07,221 | INFO    | runner | [train] embedded 4300/27309
2026-05-22 17:53:07,222 | INFO    | runner | [train] embedded 4350/27309
2026-05-22 17:53:07,223 | INFO    | runner | [train] embedded 4400/27309
2026-05-22 17:53:07,224 | INFO    | runner | [train] embedded 4450/27309
2026-05-22 17:53:07,224 | INFO    | runner | [train] embedded 4500/27309
2026-05-22 17:53:07,225 | INFO    | runner | [train] embedded 4550/27309
2026-05-22 17:53:07,226 | INFO    | runner | [train] embedded 4600/27309
2026-05-22 17:53:07,227 | INFO    | runner | [train] embedded 4650/27309
2026-05-22 17:53:07,228 | INFO    | runner | [train] embedded 4700/27309
2026-05-22 17:53:07,228 | INFO    | runner | [train] embedded 4750/27309
2026-05-22 17:53:07,229 | INFO    | runner | [train] embedded 4800/27309
2026-05-22 17:53:07,230 | INFO    | runner | [train] embedded 4850/27309
2026-05-22 17:53:07,231 | INFO    | runner | [train] embedded 4900/27309
2026-05-22 17:53:07,231 | INFO    | runner | [train] embedded 4950/27309
2026-05-22 17:53:07,232 | INFO    | runner | [train] embedded 5000/27309
2026-05-22 17:53:07,233 | INFO    | runner | [train] embedded 5050/27309
2026-05-22 17:53:07,234 | INFO    | runner | [train] embedded 5100/27309
2026-05-22 17:53:07,234 | INFO    | runner | [train] embedded 5150/27309
2026-05-22 17:53:07,235 | INFO    | runner | [train] embedded 5200/27309
2026-05-22 17:53:07,236 | INFO    | runner | [train] embedded 5250/27309
2026-05-22 17:53:07,237 | INFO    | runner | [train] embedded 5300/27309
2026-05-22 17:53:07,238 | INFO    | runner | [train] embedded 5350/27309
2026-05-22 17:53:07,238 | INFO    | runner | [train] embedded 5400/27309
2026-05-22 17:53:07,239 | INFO    | runner | [train] embedded 5450/27309
2026-05-22 17:53:07,240 | INFO    | runner | [train] embedded 5500/27309
2026-05-22 17:53:07,241 | INFO    | runner | [train] embedded 5550/27309
2026-05-22 17:53:07,242 | INFO    | runner | [train] embedded 5600/27309
2026-05-22 17:53:07,242 | INFO    | runner | [train] embedded 5650/27309
2026-05-22 17:53:07,243 | INFO    | runner | [train] embedded 5700/27309
2026-05-22 17:53:07,244 | INFO    | runner | [train] embedded 5750/27309
2026-05-22 17:53:07,245 | INFO    | runner | [train] embedded 5800/27309
2026-05-22 17:53:07,245 | INFO    | runner | [train] embedded 5850/27309
2026-05-22 17:53:07,246 | INFO    | runner | [train] embedded 5900/27309
2026-05-22 17:53:07,247 | INFO    | runner | [train] embedded 5950/27309
2026-05-22 17:53:07,248 | INFO    | runner | [train] embedded 6000/27309
2026-05-22 17:53:07,249 | INFO    | runner | [train] embedded 6050/27309
2026-05-22 17:53:07,250 | INFO    | runner | [train] embedded 6100/27309
2026-05-22 17:53:07,251 | INFO    | runner | [train] embedded 6150/27309
2026-05-22 17:53:07,252 | INFO    | runner | [train] embedded 6200/27309
2026-05-22 17:53:07,252 | INFO    | runner | [train] embedded 6250/27309
2026-05-22 17:53:07,253 | INFO    | runner | [train] embedded 6300/27309
2026-05-22 17:53:07,254 | INFO    | runner | [train] embedded 6350/27309
2026-05-22 17:53:07,255 | INFO    | runner | [train] embedded 6400/27309
2026-05-22 17:53:07,255 | INFO    | runner | [train] embedded 6450/27309
2026-05-22 17:53:07,256 | INFO    | runner | [train] embedded 6500/27309
2026-05-22 17:53:07,257 | INFO    | runner | [train] embedded 6550/27309
2026-05-22 17:53:07,258 | INFO    | runner | [train] embedded 6600/27309
2026-05-22 17:53:07,259 | INFO    | runner | [train] embedded 6650/27309
2026-05-22 17:53:07,259 | INFO    | runner | [train] embedded 6700/27309
2026-05-22 17:53:07,260 | INFO    | runner | [train] embedded 6750/27309
2026-05-22 17:53:07,261 | INFO    | runner | [train] embedded 6800/27309
2026-05-22 17:53:07,262 | INFO    | runner | [train] embedded 6850/27309
2026-05-22 17:53:07,263 | INFO    | runner | [train] embedded 6900/27309
2026-05-22 17:53:07,263 | INFO    | runner | [train] embedded 6950/27309
2026-05-22 17:53:07,264 | INFO    | runner | [train] embedded 7000/27309
2026-05-22 17:53:07,265 | INFO    | runner | [train] embedded 7050/27309
2026-05-22 17:53:07,266 | INFO    | runner | [train] embedded 7100/27309
2026-05-22 17:53:07,266 | INFO    | runner | [train] embedded 7150/27309
2026-05-22 17:53:07,267 | INFO    | runner | [train] embedded 7200/27309
2026-05-22 17:53:07,268 | INFO    | runner | [train] embedded 7250/27309
2026-05-22 17:53:07,269 | INFO    | runner | [train] embedded 7300/27309
2026-05-22 17:53:07,270 | INFO    | runner | [train] embedded 7350/27309
2026-05-22 17:53:07,270 | INFO    | runner | [train] embedded 7400/27309
2026-05-22 17:53:07,271 | INFO    | runner | [train] embedded 7450/27309
2026-05-22 17:53:07,272 | INFO    | runner | [train] embedded 7500/27309
2026-05-22 17:53:07,273 | INFO    | runner | [train] embedded 7550/27309
2026-05-22 17:53:07,273 | INFO    | runner | [train] embedded 7600/27309
2026-05-22 17:53:07,274 | INFO    | runner | [train] embedded 7650/27309
2026-05-22 17:53:07,275 | INFO    | runner | [train] embedded 7700/27309
2026-05-22 17:53:07,276 | INFO    | runner | [train] embedded 7750/27309
2026-05-22 17:53:07,277 | INFO    | runner | [train] embedded 7800/27309
