2026-06-12 16:59:50,665 | INFO    | runner | [train] embedded 50/27309
2026-06-12 16:59:50,666 | INFO    | runner | [train] embedded 100/27309
2026-06-12 16:59:50,667 | INFO    | runner | [train] embedded 150/27309
2026-06-12 16:59:50,668 | INFO    | runner | [train] embedded 200/27309
2026-06-12 16:59:50,669 | INFO    | runner | [train] embedded 250/27309
2026-06-12 16:59:50,670 | INFO    | runner | [train] embedded 300/27309
2026-06-12 16:59:50,670 | INFO    | runner | [train] embedded 350/27309
2026-06-12 16:59:50,671 | INFO    | runner | [train] embedded 400/27309
2026-06-12 16:59:50,672 | INFO    | runner | [train] embedded 450/27309
2026-06-12 16:59:50,673 | INFO    | runner | [train] embedded 500/27309
2026-06-12 16:59:50,674 | INFO    | runner | [train] embedded 550/27309
2026-06-12 16:59:50,674 | INFO    | runner | [train] embedded 600/27309
2026-06-12 16:59:50,675 | INFO    | runner | [train] embedded 650/27309
2026-06-12 16:59:50,676 | INFO    | runner | [train] embedded 700/27309
2026-06-12 16:59:50,677 | INFO    | runner | [train] embedded 750/27309
2026-06-12 16:59:50,677 | INFO    | runner | [train] embedded 800/27309
2026-06-12 16:59:50,678 | INFO    | runner | [train] embedded 850/27309
2026-06-12 16:59:50,679 | INFO    | runner | [train] embedded 900/27309
2026-06-12 16:59:50,680 | INFO    | runner | [train] embedded 950/27309
2026-06-12 16:59:50,681 | INFO    | runner | [train] embedded 1000/27309
2026-06-12 16:59:50,681 | INFO    | runner | [train] embedded 1050/27309
2026-06-12 16:59:50,683 | INFO    | runner | [train] embedded 1100/27309
2026-06-12 16:59:50,684 | INFO    | runner | [train] embedded 1150/27309
2026-06-12 16:59:50,685 | INFO    | runner | [train] embedded 1200/27309
2026-06-12 16:59:50,685 | INFO    | runner | [train] embedded 1250/27309
2026-06-12 16:59:50,686 | INFO    | runner | [train] embedded 1300/27309
2026-06-12 16:59:50,687 | INFO    | runner | [train] embedded 1350/27309
2026-06-12 16:59:50,688 | INFO    | runner | [train] embedded 1400/27309
2026-06-12 16:59:50,688 | INFO    | runner | [train] embedded 1450/27309
2026-06-12 16:59:50,689 | INFO    | runner | [train] embedded 1500/27309
2026-06-12 16:59:50,690 | INFO    | runner | [train] embedded 1550/27309
2026-06-12 16:59:50,691 | INFO    | runner | [train] embedded 1600/27309
2026-06-12 16:59:50,692 | INFO    | runner | [train] embedded 1650/27309
2026-06-12 16:59:50,692 | INFO    | runner | [train] embedded 1700/27309
2026-06-12 16:59:50,693 | INFO    | runner | [train] embedded 1750/27309
2026-06-12 16:59:50,694 | INFO    | runner | [train] embedded 1800/27309
2026-06-12 16:59:50,695 | INFO    | runner | [train] embedded 1850/27309
2026-06-12 16:59:50,695 | INFO    | runner | [train] embedded 1900/27309
2026-06-12 16:59:50,696 | INFO    | runner | [train] embedded 1950/27309
2026-06-12 16:59:50,697 | INFO    | runner | [train] embedded 2000/27309
2026-06-12 16:59:50,698 | INFO    | runner | [train] embedded 2050/27309
2026-06-12 16:59:50,699 | INFO    | runner | [train] embedded 2100/27309
2026-06-12 16:59:50,699 | INFO    | runner | [train] embedded 2150/27309
2026-06-12 16:59:50,700 | INFO    | runner | [train] embedded 2200/27309
2026-06-12 16:59:50,701 | INFO    | runner | [train] embedded 2250/27309
2026-06-12 16:59:50,702 | INFO    | runner | [train] embedded 2300/27309
2026-06-12 16:59:50,702 | INFO    | runner | [train] embedded 2350/27309
2026-06-12 16:59:50,703 | INFO    | runner | [train] embedded 2400/27309
2026-06-12 16:59:50,704 | INFO    | runner | [train] embedded 2450/27309
2026-06-12 16:59:50,705 | INFO    | runner | [train] embedded 2500/27309
2026-06-12 16:59:50,705 | INFO    | runner | [train] embedded 2550/27309
2026-06-12 16:59:50,706 | INFO    | runner | [train] embedded 2600/27309
2026-06-12 16:59:50,707 | INFO    | runner | [train] embedded 2650/27309
2026-06-12 16:59:50,708 | INFO    | runner | [train] embedded 2700/27309
2026-06-12 16:59:50,709 | INFO    | runner | [train] embedded 2750/27309
2026-06-12 16:59:50,709 | INFO    | runner | [train] embedded 2800/27309
2026-06-12 16:59:50,710 | INFO    | runner | [train] embedded 2850/27309
2026-06-12 16:59:50,711 | INFO    | runner | [train] embedded 2900/27309
2026-06-12 16:59:50,712 | INFO    | runner | [train] embedded 2950/27309
2026-06-12 16:59:50,712 | INFO    | runner | [train] embedded 3000/27309
2026-06-12 16:59:50,713 | INFO    | runner | [train] embedded 3050/27309
2026-06-12 16:59:50,714 | INFO    | runner | [train] embedded 3100/27309
2026-06-12 16:59:50,715 | INFO    | runner | [train] embedded 3150/27309
2026-06-12 16:59:50,716 | INFO    | runner | [train] embedded 3200/27309
2026-06-12 16:59:50,717 | INFO    | runner | [train] embedded 3250/27309
2026-06-12 16:59:50,718 | INFO    | runner | [train] embedded 3300/27309
2026-06-12 16:59:50,718 | INFO    | runner | [train] embedded 3350/27309
2026-06-12 16:59:50,719 | INFO    | runner | [train] embedded 3400/27309
2026-06-12 16:59:50,720 | INFO    | runner | [train] embedded 3450/27309
2026-06-12 16:59:50,721 | INFO    | runner | [train] embedded 3500/27309
2026-06-12 16:59:50,721 | INFO    | runner | [train] embedded 3550/27309
2026-06-12 16:59:50,722 | INFO    | runner | [train] embedded 3600/27309
2026-06-12 16:59:50,723 | INFO    | runner | [train] embedded 3650/27309
2026-06-12 16:59:50,724 | INFO    | runner | [train] embedded 3700/27309
2026-06-12 16:59:50,725 | INFO    | runner | [train] embedded 3750/27309
2026-06-12 16:59:50,725 | INFO    | runner | [train] embedded 3800/27309
2026-06-12 16:59:50,726 | INFO    | runner | [train] embedded 3850/27309
2026-06-12 16:59:50,727 | INFO    | runner | [train] embedded 3900/27309
2026-06-12 16:59:50,728 | INFO    | runner | [train] embedded 3950/27309
2026-06-12 16:59:50,728 | INFO    | runner | [train] embedded 4000/27309
2026-06-12 16:59:50,729 | INFO    | runner | [train] embedded 4050/27309
2026-06-12 16:59:50,730 | INFO    | runner | [train] embedded 4100/27309
2026-06-12 16:59:50,731 | INFO    | runner | [train] embedded 4150/27309
2026-06-12 16:59:50,731 | INFO    | runner | [train] embedded 4200/27309
2026-06-12 16:59:50,732 | INFO    | runner | [train] embedded 4250/27309
2026-06-12 16:59:50,733 | INFO    | runner | [train] embedded 4300/27309
2026-06-12 16:59:50,734 | INFO    | runner | [train] embedded 4350/27309
2026-06-12 16:59:50,735 | INFO    | runner | [train] embedded 4400/27309
2026-06-12 16:59:50,735 | INFO    | runner | [train] embedded 4450/27309
2026-06-12 16:59:50,736 | INFO    | runner | [train] embedded 4500/27309
2026-06-12 16:59:50,737 | INFO    | runner | [train] embedded 4550/27309
2026-06-12 16:59:50,738 | INFO    | runner | [train] embedded 4600/27309
2026-06-12 16:59:50,738 | INFO    | runner | [train] embedded 4650/27309
2026-06-12 16:59:50,739 | INFO    | runner | [train] embedded 4700/27309
2026-06-12 16:59:50,740 | INFO    | runner | [train] embedded 4750/27309
2026-06-12 16:59:50,741 | INFO    | runner | [train] embedded 4800/27309
2026-06-12 16:59:50,742 | INFO    | runner | [train] embedded 4850/27309
2026-06-12 16:59:50,742 | INFO    | runner | [train] embedded 4900/27309
2026-06-12 16:59:50,743 | INFO    | runner | [train] embedded 4950/27309
2026-06-12 16:59:50,744 | INFO    | runner | [train] embedded 5000/27309
2026-06-12 16:59:50,745 | INFO    | runner | [train] embedded 5050/27309
2026-06-12 16:59:50,745 | INFO    | runner | [train] embedded 5100/27309
2026-06-12 16:59:50,746 | INFO    | runner | [train] embedded 5150/27309
2026-06-12 16:59:50,747 | INFO    | runner | [train] embedded 5200/27309
2026-06-12 16:59:50,748 | INFO    | runner | [train] embedded 5250/27309
2026-06-12 16:59:50,749 | INFO    | runner | [train] embedded 5300/27309
2026-06-12 16:59:50,750 | INFO    | runner | [train] embedded 5350/27309
2026-06-12 16:59:50,751 | INFO    | runner | [train] embedded 5400/27309
2026-06-12 16:59:50,751 | INFO    | runner | [train] embedded 5450/27309
2026-06-12 16:59:50,752 | INFO    | runner | [train] embedded 5500/27309
2026-06-12 16:59:50,753 | INFO    | runner | [train] embedded 5550/27309
2026-06-12 16:59:50,754 | INFO    | runner | [train] embedded 5600/27309
2026-06-12 16:59:50,755 | INFO    | runner | [train] embedded 5650/27309
2026-06-12 16:59:50,755 | INFO    | runner | [train] embedded 5700/27309
2026-06-12 16:59:50,756 | INFO    | runner | [train] embedded 5750/27309
2026-06-12 16:59:50,757 | INFO    | runner | [train] embedded 5800/27309
2026-06-12 16:59:50,758 | INFO    | runner | [train] embedded 5850/27309
2026-06-12 16:59:50,758 | INFO    | runner | [train] embedded 5900/27309
2026-06-12 16:59:50,759 | INFO    | runner | [train] embedded 5950/27309
2026-06-12 16:59:50,760 | INFO    | runner | [train] embedded 6000/27309
2026-06-12 16:59:50,761 | INFO    | runner | [train] embedded 6050/27309
2026-06-12 16:59:50,762 | INFO    | runner | [train] embedded 6100/27309
2026-06-12 16:59:50,762 | INFO    | runner | [train] embedded 6150/27309
2026-06-12 16:59:50,763 | INFO    | runner | [train] embedded 6200/27309
2026-06-12 16:59:50,764 | INFO    | runner | [train] embedded 6250/27309
2026-06-12 16:59:50,765 | INFO    | runner | [train] embedded 6300/27309
2026-06-12 16:59:50,765 | INFO    | runner | [train] embedded 6350/27309
2026-06-12 16:59:50,766 | INFO    | runner | [train] embedded 6400/27309
2026-06-12 16:59:50,767 | INFO    | runner | [train] embedded 6450/27309
2026-06-12 16:59:50,768 | INFO    | runner | [train] embedded 6500/27309
2026-06-12 16:59:50,769 | INFO    | runner | [train] embedded 6550/27309
2026-06-12 16:59:50,769 | INFO    | runner | [train] embedded 6600/27309
2026-06-12 16:59:50,770 | INFO    | runner | [train] embedded 6650/27309
2026-06-12 16:59:50,771 | INFO    | runner | [train] embedded 6700/27309
2026-06-12 16:59:50,772 | INFO    | runner | [train] embedded 6750/27309
2026-06-12 16:59:50,772 | INFO    | runner | [train] embedded 6800/27309
2026-06-12 16:59:50,773 | INFO    | runner | [train] embedded 6850/27309
2026-06-12 16:59:50,774 | INFO    | runner | [train] embedded 6900/27309
2026-06-12 16:59:50,775 | INFO    | runner | [train] embedded 6950/27309
2026-06-12 16:59:50,776 | INFO    | runner | [train] embedded 7000/27309
2026-06-12 16:59:50,776 | INFO    | runner | [train] embedded 7050/27309
2026-06-12 16:59:50,777 | INFO    | runner | [train] embedded 7100/27309
2026-06-12 16:59:50,778 | INFO    | runner | [train] embedded 7150/27309
2026-06-12 16:59:50,779 | INFO    | runner | [train] embedded 7200/27309
2026-06-12 16:59:50,779 | INFO    | runner | [train] embedded 7250/27309
2026-06-12 16:59:50,780 | INFO    | runner | [train] embedded 7300/27309
2026-06-12 16:59:50,782 | INFO    | runner | [train] embedded 7350/27309
2026-06-12 16:59:50,782 | INFO    | runner | [train] embedded 7400/27309
2026-06-12 16:59:50,783 | INFO    | runner | [train] embedded 7450/27309
2026-06-12 16:59:50,784 | INFO    | runner | [train] embedded 7500/27309
2026-06-12 16:59:50,785 | INFO    | runner | [train] embedded 7550/27309
2026-06-12 16:59:50,785 | INFO    | runner | [train] embedded 7600/27309
2026-06-12 16:59:50,786 | INFO    | runner | [train] embedded 7650/27309
2026-06-12 16:59:50,787 | INFO    | runner | [train] embedded 7700/27309
2026-06-12 16:59:50,788 | INFO    | runner | [train] embedded 7750/27309
2026-06-12 16:59:50,789 | INFO    | runner | [train] embedded 7800/27309
2026-06-12 16:59:50,789 | INFO    | runner | [train] embedded 7850/27309
2026-06-12 16:59:50,790 | INFO    | runner | [train] embedded 7900/27309
2026-06-12 16:59:50,791 | INFO    | runner | [train] embedded 7950/27309
2026-06-12 16:59:50,792 | INFO    | runner | [train] embedded 8000/27309
2026-06-12 16:59:50,792 | INFO    | runner | [train] embedded 8050/27309
2026-06-12 16:59:50,793 | INFO    | runner | [train] embedded 8100/27309
2026-06-12 16:59:50,794 | INFO    | runner | [train] embedded 8150/27309
2026-06-12 16:59:50,795 | INFO    | runner | [train] embedded 8200/27309
2026-06-12 16:59:50,796 | INFO    | runner | [train] embedded 8250/27309
2026-06-12 16:59:50,796 | INFO    | runner | [train] embedded 8300/27309
2026-06-12 16:59:50,797 | INFO    | runner | [train] embedded 8350/27309
2026-06-12 16:59:50,798 | INFO    | runner | [train] embedded 8400/27309
2026-06-12 16:59:50,799 | INFO    | runner | [train] embedded 8450/27309
2026-06-12 16:59:50,799 | INFO    | runner | [train] embedded 8500/27309
2026-06-12 16:59:50,800 | INFO    | runner | [train] embedded 8550/27309
2026-06-12 16:59:50,801 | INFO    | runner | [train] embedded 8600/27309
