2026-05-22 17:55:33,271 | INFO    | runner | [train] embedded 50/27309
2026-05-22 17:55:33,272 | INFO    | runner | [train] embedded 100/27309
2026-05-22 17:55:33,273 | INFO    | runner | [train] embedded 150/27309
2026-05-22 17:55:33,274 | INFO    | runner | [train] embedded 200/27309
2026-05-22 17:55:33,275 | INFO    | runner | [train] embedded 250/27309
2026-05-22 17:55:33,276 | INFO    | runner | [train] embedded 300/27309
2026-05-22 17:55:33,278 | INFO    | runner | [train] embedded 350/27309
2026-05-22 17:55:33,279 | INFO    | runner | [train] embedded 400/27309
2026-05-22 17:55:33,280 | INFO    | runner | [train] embedded 450/27309
2026-05-22 17:55:33,280 | INFO    | runner | [train] embedded 500/27309
2026-05-22 17:55:33,281 | INFO    | runner | [train] embedded 550/27309
2026-05-22 17:55:33,282 | INFO    | runner | [train] embedded 600/27309
2026-05-22 17:55:33,283 | INFO    | runner | [train] embedded 650/27309
2026-05-22 17:55:33,284 | INFO    | runner | [train] embedded 700/27309
2026-05-22 17:55:33,284 | INFO    | runner | [train] embedded 750/27309
2026-05-22 17:55:33,285 | INFO    | runner | [train] embedded 800/27309
2026-05-22 17:55:33,286 | INFO    | runner | [train] embedded 850/27309
2026-05-22 17:55:33,287 | INFO    | runner | [train] embedded 900/27309
2026-05-22 17:55:33,288 | INFO    | runner | [train] embedded 950/27309
2026-05-22 17:55:33,288 | INFO    | runner | [train] embedded 1000/27309
2026-05-22 17:55:33,289 | INFO    | runner | [train] embedded 1050/27309
2026-05-22 17:55:33,290 | INFO    | runner | [train] embedded 1100/27309
2026-05-22 17:55:33,291 | INFO    | runner | [train] embedded 1150/27309
2026-05-22 17:55:33,292 | INFO    | runner | [train] embedded 1200/27309
2026-05-22 17:55:33,292 | INFO    | runner | [train] embedded 1250/27309
2026-05-22 17:55:33,293 | INFO    | runner | [train] embedded 1300/27309
2026-05-22 17:55:33,294 | INFO    | runner | [train] embedded 1350/27309
2026-05-22 17:55:33,295 | INFO    | runner | [train] embedded 1400/27309
2026-05-22 17:55:33,296 | INFO    | runner | [train] embedded 1450/27309
2026-05-22 17:55:33,296 | INFO    | runner | [train] embedded 1500/27309
2026-05-22 17:55:33,297 | INFO    | runner | [train] embedded 1550/27309
2026-05-22 17:55:33,298 | INFO    | runner | [train] embedded 1600/27309
2026-05-22 17:55:33,299 | INFO    | runner | [train] embedded 1650/27309
2026-05-22 17:55:33,300 | INFO    | runner | [train] embedded 1700/27309
2026-05-22 17:55:33,300 | INFO    | runner | [train] embedded 1750/27309
2026-05-22 17:55:33,301 | INFO    | runner | [train] embedded 1800/27309
2026-05-22 17:55:33,302 | INFO    | runner | [train] embedded 1850/27309
2026-05-22 17:55:33,303 | INFO    | runner | [train] embedded 1900/27309
2026-05-22 17:55:33,303 | INFO    | runner | [train] embedded 1950/27309
2026-05-22 17:55:33,304 | INFO    | runner | [train] embedded 2000/27309
2026-05-22 17:55:33,305 | INFO    | runner | [train] embedded 2050/27309
2026-05-22 17:55:33,306 | INFO    | runner | [train] embedded 2100/27309
2026-05-22 17:55:33,307 | INFO    | runner | [train] embedded 2150/27309
2026-05-22 17:55:33,307 | INFO    | runner | [train] embedded 2200/27309
2026-05-22 17:55:33,308 | INFO    | runner | [train] embedded 2250/27309
2026-05-22 17:55:33,309 | INFO    | runner | [train] embedded 2300/27309
2026-05-22 17:55:33,310 | INFO    | runner | [train] embedded 2350/27309
2026-05-22 17:55:33,311 | INFO    | runner | [train] embedded 2400/27309
2026-05-22 17:55:33,312 | INFO    | runner | [train] embedded 2450/27309
2026-05-22 17:55:33,313 | INFO    | runner | [train] embedded 2500/27309
2026-05-22 17:55:33,314 | INFO    | runner | [train] embedded 2550/27309
2026-05-22 17:55:33,314 | INFO    | runner | [train] embedded 2600/27309
2026-05-22 17:55:33,315 | INFO    | runner | [train] embedded 2650/27309
2026-05-22 17:55:33,316 | INFO    | runner | [train] embedded 2700/27309
2026-05-22 17:55:33,317 | INFO    | runner | [train] embedded 2750/27309
2026-05-22 17:55:33,318 | INFO    | runner | [train] embedded 2800/27309
2026-05-22 17:55:33,318 | INFO    | runner | [train] embedded 2850/27309
2026-05-22 17:55:33,319 | INFO    | runner | [train] embedded 2900/27309
2026-05-22 17:55:33,320 | INFO    | runner | [train] embedded 2950/27309
2026-05-22 17:55:33,321 | INFO    | runner | [train] embedded 3000/27309
2026-05-22 17:55:33,321 | INFO    | runner | [train] embedded 3050/27309
2026-05-22 17:55:33,322 | INFO    | runner | [train] embedded 3100/27309
2026-05-22 17:55:33,323 | INFO    | runner | [train] embedded 3150/27309
2026-05-22 17:55:33,324 | INFO    | runner | [train] embedded 3200/27309
2026-05-22 17:55:33,325 | INFO    | runner | [train] embedded 3250/27309
2026-05-22 17:55:33,325 | INFO    | runner | [train] embedded 3300/27309
