record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,soulap1,0.0,0.0,0.0,18.440679006744176,0.0,0.0,0.0,0.0,0.0
7,1161364,bncfly,0.0,0.0,0.0,12.075477046892047,0.0,0.0,0.0,0.0,0.0
16,1176823,326272,0.0,0.0,0.0,12.039310997352004,0.0,0.0,0.0,0.0,0.0
22,1176823,brnowl,0.0,0.0,0.0,11.916026996914297,0.0,0.0,0.0,0.0,0.0
24,1595929,1595929,1.0,1.0,1.0,12.818002025596797,1.0,0.2,0.041666666666666664,0.041666666666666664,0.041666666666666664
30,209233,brnowl,0.0,0.0,0.0,11.75475399941206,0.0,0.0,0.0,0.0,0.0
32,22930,22930,1.0,1.0,1.0,11.797251005191356,1.0,0.2,0.030303030303030304,0.030303030303030304,0.030303030303030304
44,22956,326272,0.5,0.5,0.6309297535714575,13.25180201092735,0.0,0.2,0.0,0.006369426751592357,0.006369426751592357
45,22956,22956,1.0,1.0,1.0,12.681246967986226,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
47,22956,244024,0.5,0.5,0.6309297535714575,12.128590024076402,0.0,0.2,0.0,0.006369426751592357,0.006369426751592357
62,22956,compot1,0.0,0.0,0.0,12.783937971107662,0.0,0.0,0.0,0.0,0.0
66,22956,22956,1.0,1.0,1.0,12.823820987250656,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
68,22956,22956,1.0,1.0,1.0,11.901623976882547,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
72,22961,brnowl,0.14285714285714285,0.14285714285714285,0.3333333333333333,13.975477020721883,0.0,0.0,0.0,0.0,0.030303030303030304
75,22967,compau,0.3333333333333333,0.3333333333333333,0.5,13.430802966468036,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
78,22967,compau,0.3333333333333333,0.3333333333333333,0.5,13.161600974854082,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
83,22973,22973,1.0,1.0,1.0,14.936032996047288,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
87,22973,bbwduc,0.0,0.0,0.0,13.260336010716856,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,12.834627996198833,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
94,22973,compau,0.5,0.5,0.6309297535714575,13.918927987106144,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
98,22973,compot1,0.0,0.0,0.0,15.3329559834674,0.0,0.0,0.0,0.0,0.0
107,22973,compau,0.3333333333333333,0.3333333333333333,0.5,13.668305007740855,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
108,22973,22973,1.0,1.0,1.0,13.183164992369711,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
113,22973,brnowl,0.0,0.0,0.0,12.720889004413038,0.0,0.0,0.0,0.0,0.0
115,22973,22973,1.0,1.0,1.0,11.931690969504416,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
117,22973,22973,1.0,1.0,1.0,11.832104995846748,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
123,22973,22973,1.0,1.0,1.0,14.896681997925043,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
124,22973,22973,1.0,1.0,1.0,11.198182008229196,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
127,22973,209233,0.5,0.5,0.6309297535714575,10.739983001258224,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
151,22983,22983,1.0,1.0,1.0,11.712377017829567,1.0,0.2,0.030303030303030304,0.030303030303030304,0.030303030303030304
155,22983,ruther1,0.3333333333333333,0.3333333333333333,0.5,11.7471520206891,0.0,0.2,0.0,0.030303030303030304,0.030303030303030304
159,22985,compau,0.0,0.0,0.0,11.416574008762836,0.0,0.0,0.0,0.0,0.0
165,23154,roahaw,0.0,0.0,0.0,13.510668009985238,0.0,0.0,0.0,0.0,0.0
174,23158,24279,0.0,0.0,0.0,16.224552993662655,0.0,0.0,0.0,0.0,0.0
177,23158,gycwor1,0.0,0.0,0.0,14.436500030569732,0.0,0.0,0.0,0.0,0.0
178,23158,23158,1.0,1.0,1.0,15.54869394749403,1.0,0.2,0.007246376811594203,0.007246376811594203,0.007246376811594203
186,23158,roahaw,0.0,0.0,0.0,14.587566023692489,0.0,0.0,0.0,0.0,0.0
189,23158,23158,1.0,1.0,1.0,13.840986008290201,1.0,0.2,0.007246376811594203,0.007246376811594203,0.007246376811594203
193,23176,gycwor1,0.125,0.125,0.31546487678572877,15.34627698129043,0.0,0.0,0.0,0.0,0.07142857142857142
201,24279,24279,1.0,1.0,1.0,13.532201992347836,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
204,24279,24279,1.0,1.0,1.0,11.372233973816037,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
207,24279,gycwor1,0.0,0.0,0.0,11.695740977302194,0.0,0.0,0.0,0.0,0.0
217,24279,24279,1.0,1.0,1.0,15.416045964229852,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
226,24279,24279,1.0,1.0,1.0,13.736711989622563,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
230,24279,24279,1.0,1.0,1.0,13.009542017243803,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
232,24279,thlwre1,0.1111111111111111,0.1111111111111111,0.3010299956639812,12.380525993648916,0.0,0.0,0.0,0.0,0.004484304932735426
233,24279,24279,1.0,1.0,1.0,13.811389973852783,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
234,24279,24279,1.0,1.0,1.0,14.054370985832065,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
244,24285,24285,1.0,1.0,1.0,13.59076303197071,1.0,0.2,0.008130081300813009,0.008130081300813009,0.008130081300813009
246,24285,1595929,0.2,0.2,0.38685280723454163,11.987149016931653,0.0,0.2,0.0,0.008130081300813009,0.008130081300813009
251,24285,24285,1.0,1.0,1.0,13.0730009987019,1.0,0.2,0.008130081300813009,0.008130081300813009,0.008130081300813009
252,24285,strowl1,0.5,0.5,0.6309297535714575,15.09163697483018,0.0,0.2,0.0,0.008130081300813009,0.008130081300813009
265,24287,24287,1.0,1.0,1.0,14.768199995160103,1.0,0.2,0.023255813953488372,0.023255813953488372,0.023255813953488372
269,24287,compau,0.0,0.0,0.0,13.405533041805029,0.0,0.0,0.0,0.0,0.0
274,24321,555146,0.0,0.0,0.0,12.162373983301222,0.0,0.0,0.0,0.0,0.0
276,244024,244024,1.0,1.0,1.0,12.589333986397833,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
278,244024,244024,1.0,1.0,1.0,12.029884965158999,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
280,244024,grekis,0.2,0.2,0.38685280723454163,12.838644033763558,0.0,0.2,0.0,0.0010638297872340426,0.0010638297872340426
291,244024,244024,1.0,1.0,1.0,16.702543012797832,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
296,244024,244024,1.0,1.0,1.0,14.292854990344495,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
302,244024,coffal1,0.0,0.0,0.0,14.691389980725944,0.0,0.0,0.0,0.0,0.0
309,244024,244024,1.0,1.0,1.0,13.115998997818679,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
319,244024,244024,1.0,1.0,1.0,13.892305956687778,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
320,244024,strcuc1,0.0,0.0,0.0,12.08773598773405,0.0,0.0,0.0,0.0,0.0
325,244024,244024,1.0,1.0,1.0,13.18457699380815,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
327,244024,244024,1.0,1.0,1.0,12.373153993394226,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
329,244024,soulap1,0.25,0.25,0.43067655807339306,13.645660015754402,0.0,0.2,0.0,0.0010638297872340426,0.0010638297872340426
330,244024,banana,0.0,0.0,0.0,12.15839700307697,0.0,0.0,0.0,0.0,0.0
334,244024,244024,1.0,1.0,1.0,11.948909028433263,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
354,244024,trsowl,0.5,0.5,0.6309297535714575,12.00460601830855,0.0,0.2,0.0,0.0010638297872340426,0.0010638297872340426
355,244024,244024,1.0,1.0,1.0,11.565636959858239,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
359,244024,souant1,0.5,0.5,0.6309297535714575,12.301632028538734,0.0,0.2,0.0,0.0010638297872340426,0.0010638297872340426
367,244024,244024,1.0,1.0,1.0,14.043162984307855,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
369,244024,244024,1.0,1.0,1.0,11.69706298969686,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
382,244024,244024,1.0,1.0,1.0,13.195043022278696,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
386,244024,244024,1.0,1.0,1.0,13.16270197276026,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
390,244024,244024,1.0,1.0,1.0,13.069025008007884,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
393,244024,244024,1.0,1.0,1.0,13.9466020045802,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
398,244024,244024,1.0,1.0,1.0,13.077888987027109,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
415,244024,244024,1.0,1.0,1.0,14.094243000727147,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
416,244024,244024,1.0,1.0,1.0,12.597485969308764,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
435,244024,244024,1.0,1.0,1.0,15.921398007776588,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
438,244024,oliwoo1,0.0,0.0,0.0,11.98301202384755,0.0,0.0,0.0,0.0,0.0
444,244024,osprey,0.125,0.125,0.31546487678572877,11.694610002450645,0.0,0.0,0.0,0.0,0.0010638297872340426
445,244024,shtnig1,0.0,0.0,0.0,10.786586033646017,0.0,0.0,0.0,0.0,0.0
446,244024,osprey,0.0,0.0,0.0,13.309403031598777,0.0,0.0,0.0,0.0,0.0
451,244024,bbwduc,0.3333333333333333,0.3333333333333333,0.5,11.611939989961684,0.0,0.2,0.0,0.0010638297872340426,0.0010638297872340426
452,244024,compau,0.0,0.0,0.0,12.117132951971143,0.0,0.0,0.0,0.0,0.0
453,244024,brnowl,0.0,0.0,0.0,11.531864991411567,0.0,0.0,0.0,0.0,0.0
455,244024,244024,1.0,1.0,1.0,16.585288976784796,1.0,0.2,0.0010638297872340426,0.0010638297872340426,0.0010638297872340426
456,244024,brnowl,0.0,0.0,0.0,18.38067499920726,0.0,0.0,0.0,0.0,0.0
463,25092,compot1,0.0,0.0,0.0,13.52327800123021,0.0,0.0,0.0,0.0,0.0
465,25092,1595929,0.0,0.0,0.0,13.309172005392611,0.0,0.0,0.0,0.0,0.0
466,25092,25092,1.0,1.0,1.0,15.697286988142878,1.0,0.2,0.008849557522123894,0.008849557522123894,0.008849557522123894
470,25092,swtman1,0.0,0.0,0.0,14.975814963690937,0.0,0.0,0.0,0.0,0.0
473,25092,24279,0.3333333333333333,0.3333333333333333,0.5,15.56373800849542,0.0,0.2,0.0,0.008849557522123894,0.008849557522123894
484,25214,25214,1.0,1.0,1.0,13.880157028324902,1.0,0.2,0.125,0.125,0.125
486,326272,326272,1.0,1.0,1.0,14.476772979833186,1.0,0.2,0.006993006993006993,0.006993006993006993,0.006993006993006993
489,326272,roahaw,0.0,0.0,0.0,11.35165203595534,0.0,0.0,0.0,0.0,0.0
493,326272,326272,1.0,1.0,1.0,15.560753003228456,1.0,0.2,0.006993006993006993,0.006993006993006993,0.006993006993006993
497,326272,326272,1.0,1.0,1.0,14.132411975879222,1.0,0.2,0.006993006993006993,0.006993006993006993,0.006993006993006993
499,326272,23158,0.5,0.5,0.6309297535714575,12.659633008297533,0.0,0.2,0.0,0.006993006993006993,0.006993006993006993
508,326272,326272,1.0,1.0,1.0,14.850628969725221,1.0,0.2,0.006993006993006993,0.006993006993006993,0.006993006993006993
519,41970,bbwduc,0.0,0.0,0.0,12.66832702094689,0.0,0.0,0.0,0.0,0.0
520,41970,43435,0.0,0.0,0.0,12.745888961944729,0.0,0.0,0.0,0.0,0.0
527,43435,43435,1.0,1.0,1.0,14.49199696071446,1.0,0.2,0.009259259259259259,0.009259259259259259,0.009259259259259259
528,43435,roahaw,0.16666666666666666,0.16666666666666666,0.3562071871080222,13.661463977769017,0.0,0.0,0.0,0.0,0.009259259259259259
531,43435,43435,1.0,1.0,1.0,13.765627983957529,1.0,0.2,0.009259259259259259,0.009259259259259259,0.009259259259259259
537,47144,brnowl,0.0,0.0,0.0,15.103354991879314,0.0,0.0,0.0,0.0,0.0
541,47144,gycwor1,0.0,0.0,0.0,13.354311988223344,0.0,0.0,0.0,0.0,0.0
547,47144,gycwor1,0.0,0.0,0.0,13.665639969985932,0.0,0.0,0.0,0.0,0.0
555,47144,brnowl,0.14285714285714285,0.14285714285714285,0.3333333333333333,13.056765019427985,0.0,0.0,0.0,0.0,0.010752688172043012
556,47144,bbwduc,0.0,0.0,0.0,12.830059975385666,0.0,0.0,0.0,0.0,0.0
557,47144,fepowl,0.0,0.0,0.0,12.02767202630639,0.0,0.0,0.0,0.0,0.0
561,47144,greyel,0.0,0.0,0.0,12.201855017337948,0.0,0.0,0.0,0.0,0.0
