record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,1161364,1.0,1.0,1.0,17.872733005788177,1.0,0.2,0.014705882352941176,0.014705882352941176,0.014705882352941176
7,1161364,undtin1,0.0,0.0,0.0,11.702142015565187,0.0,0.0,0.0,0.0,0.0
16,1176823,326272,0.0,0.0,0.0,12.141841987613589,0.0,0.0,0.0,0.0,0.0
22,1176823,yebela1,0.0,0.0,0.0,11.290035035926849,0.0,0.0,0.0,0.0,0.0
24,1595929,1595929,1.0,1.0,1.0,11.437867011409253,1.0,0.2,0.041666666666666664,0.041666666666666664,0.041666666666666664
30,209233,grekis,0.0,0.0,0.0,11.514807993080467,0.0,0.0,0.0,0.0,0.0
32,22930,22930,1.0,1.0,1.0,10.913684032857418,1.0,0.2,0.030303030303030304,0.030303030303030304,0.030303030303030304
44,22956,326272,0.0,0.0,0.0,11.974318011198193,0.0,0.0,0.0,0.0,0.0
45,22956,22956,1.0,1.0,1.0,10.698997997678816,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
47,22956,22956,1.0,1.0,1.0,10.387929971329868,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
62,22956,greant1,0.16666666666666666,0.16666666666666666,0.3562071871080222,10.799886018503457,0.0,0.0,0.0,0.0,0.006369426751592357
66,22956,22956,1.0,1.0,1.0,11.419387999922037,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
68,22956,22956,1.0,1.0,1.0,10.818565031513572,1.0,0.2,0.006369426751592357,0.006369426751592357,0.006369426751592357
72,22961,244024,0.0,0.0,0.0,11.081869015470147,0.0,0.0,0.0,0.0,0.0
75,22967,saffin,0.0,0.0,0.0,11.02705200901255,0.0,0.0,0.0,0.0,0.0
78,22967,compot1,0.14285714285714285,0.14285714285714285,0.3333333333333333,10.928118019364774,0.0,0.0,0.0,0.0,0.038461538461538464
83,22973,22973,1.0,1.0,1.0,12.78073398862034,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
87,22973,brnowl,0.0,0.0,0.0,12.02290499350056,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,12.83015200169757,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
94,22973,22973,1.0,1.0,1.0,15.21137700183317,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
98,22973,24285,0.5,0.5,0.6309297535714575,14.626099960878491,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
107,22973,compau,0.5,0.5,0.6309297535714575,13.183817034587264,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
108,22973,22973,1.0,1.0,1.0,12.688649003393948,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
113,22973,compau,0.5,0.5,0.6309297535714575,12.622936046682298,0.0,0.2,0.0,0.0038910505836575876,0.0038910505836575876
115,22973,22973,1.0,1.0,1.0,12.007520999759436,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
117,22973,22973,1.0,1.0,1.0,11.650850996375084,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
123,22973,22973,1.0,1.0,1.0,17.711139982566237,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
124,22973,22973,1.0,1.0,1.0,12.784941005520523,1.0,0.2,0.0038910505836575876,0.0038910505836575876,0.0038910505836575876
127,22973,strcuc1,0.0,0.0,0.0,12.663920992054045,0.0,0.0,0.0,0.0,0.0
151,22983,22983,1.0,1.0,1.0,12.834549008402973,1.0,0.2,0.030303030303030304,0.030303030303030304,0.030303030303030304
155,22983,baffal1,0.5,0.5,0.6309297535714575,12.456885015126318,0.0,0.2,0.0,0.030303030303030304,0.030303030303030304
159,22985,compot1,0.0,0.0,0.0,12.203328020405024,0.0,0.0,0.0,0.0,0.0
165,23154,toctou1,0.0,0.0,0.0,13.708669983316213,0.0,0.0,0.0,0.0,0.0
174,23158,24279,0.2,0.2,0.38685280723454163,14.444575004745275,0.0,0.2,0.0,0.007246376811594203,0.007246376811594203
177,23158,houspa,0.25,0.25,0.43067655807339306,12.455603980924934,0.0,0.2,0.0,0.007246376811594203,0.007246376811594203
178,23158,23158,1.0,1.0,1.0,14.718042977619916,1.0,0.2,0.007246376811594203,0.007246376811594203,0.007246376811594203
186,23158,whtdov,0.0,0.0,0.0,14.158295001834631,0.0,0.0,0.0,0.0,0.0
189,23158,23158,1.0,1.0,1.0,22.59986102581024,1.0,0.2,0.007246376811594203,0.007246376811594203,0.007246376811594203
193,23176,brnowl,0.0,0.0,0.0,14.130823023151606,0.0,0.0,0.0,0.0,0.0
201,24279,24279,1.0,1.0,1.0,11.557024030480534,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
204,24279,24279,1.0,1.0,1.0,11.377863003872335,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
207,24279,soulap1,0.0,0.0,0.0,11.63379498757422,0.0,0.0,0.0,0.0,0.0
217,24279,24279,1.0,1.0,1.0,14.414127042982727,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
226,24279,24279,1.0,1.0,1.0,12.465339037589729,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
230,24279,24279,1.0,1.0,1.0,12.354195001535118,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
232,24279,24279,1.0,1.0,1.0,11.373315006494522,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
233,24279,24279,1.0,1.0,1.0,14.96937801130116,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
234,24279,24279,1.0,1.0,1.0,14.302522002253681,1.0,0.2,0.004484304932735426,0.004484304932735426,0.004484304932735426
244,24285,65377,0.3333333333333333,0.3333333333333333,0.5,15.252932964358479,0.0,0.2,0.0,0.008130081300813009,0.008130081300813009
