record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,1161364,1.0,1.0,1.0,15.958699048496783,1.0,0.2,0.008130081300813009,0.008130081300813009,0.008130081300813009
7,1161364,bncfly,0.5,0.5,0.6309297535714575,13.213035010267049,0.0,0.2,0.0,0.008130081300813009,0.008130081300813009
16,1176823,brnowl,0.0,0.0,0.0,15.9921909798868,0.0,0.0,0.0,0.0,0.0
22,1176823,trokin,0.2,0.2,0.38685280723454163,13.719155977014452,0.0,0.2,0.0,0.015151515151515152,0.015151515151515152
24,1595929,65380,0.5,0.5,0.6309297535714575,16.06837095459923,0.0,0.2,0.0,0.025,0.025
30,209233,brnowl,0.0,0.0,0.0,14.126033056527376,0.0,0.0,0.0,0.0,0.0
32,22930,22930,1.0,1.0,1.0,13.592739007435739,1.0,0.2,0.017857142857142856,0.017857142857142856,0.017857142857142856
44,22956,326272,0.1111111111111111,0.1111111111111111,0.3010299956639812,16.402153007220477,0.0,0.0,0.0,0.0,0.0037174721189591076
45,22956,22956,1.0,1.0,1.0,13.531252974644303,1.0,0.2,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076
47,22956,22956,1.0,1.0,1.0,15.698491013608873,1.0,0.2,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076
62,22956,22973,0.125,0.125,0.31546487678572877,15.730671992059797,0.0,0.0,0.0,0.0,0.0037174721189591076
66,22956,22956,1.0,1.0,1.0,15.914930030703545,1.0,0.2,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076
68,22956,22956,1.0,1.0,1.0,14.333025959786028,1.0,0.2,0.0037174721189591076,0.0037174721189591076,0.0037174721189591076
72,22961,244024,0.16666666666666666,0.16666666666666666,0.3562071871080222,13.968606013804674,0.0,0.0,0.0,0.0,0.017857142857142856
75,22967,saffin,0.5,0.5,0.6309297535714575,15.293268021196127,0.0,0.2,0.0,0.023255813953488372,0.023255813953488372
78,22967,trsowl,0.14285714285714285,0.14285714285714285,0.3333333333333333,16.60605100914836,0.0,0.0,0.0,0.0,0.023255813953488372
83,22973,22973,1.0,1.0,1.0,17.230106983333826,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
87,22973,brnowl,0.0,0.0,0.0,16.444337961729616,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,16.071335005108267,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
94,22973,22973,1.0,1.0,1.0,17.4926079926081,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
98,22973,22973,1.0,1.0,1.0,17.004764988087118,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
107,22973,22973,1.0,1.0,1.0,15.95598499989137,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
108,22973,22973,1.0,1.0,1.0,15.91702300356701,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
113,22973,22973,1.0,1.0,1.0,15.922612976282835,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
115,22973,22973,1.0,1.0,1.0,13.408610015176237,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
117,22973,22973,1.0,1.0,1.0,13.654263981152326,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
123,22973,22973,1.0,1.0,1.0,20.04145400132984,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
124,22973,22973,1.0,1.0,1.0,13.500764034688473,1.0,0.2,0.00228310502283105,0.00228310502283105,0.00228310502283105
127,22973,bbwduc,0.0,0.0,0.0,13.293239986523986,0.0,0.0,0.0,0.0,0.0
151,22983,bucmot4,0.5,0.5,0.6309297535714575,14.579341979697347,0.0,0.2,0.0,0.018518518518518517,0.018518518518518517
155,22983,bucmot4,0.5,0.5,0.6309297535714575,13.985511963255703,0.0,0.2,0.0,0.018518518518518517,0.018518518518518517
159,22985,compot1,0.0,0.0,0.0,13.907390995882452,0.0,0.0,0.0,0.0,0.0
165,23154,23154,1.0,1.0,1.0,16.651162004563957,1.0,0.2,0.013157894736842105,0.013157894736842105,0.013157894736842105
174,23158,24279,0.3333333333333333,0.3333333333333333,0.5,17.281537991948426,0.0,0.2,0.0,0.004048582995951417,0.004048582995951417
177,23158,326272,0.5,0.5,0.6309297535714575,16.649549012072384,0.0,0.2,0.0,0.004048582995951417,0.004048582995951417
178,23158,23158,1.0,1.0,1.0,18.08816904667765,1.0,0.2,0.004048582995951417,0.004048582995951417,0.004048582995951417
186,23158,whtdov,0.0,0.0,0.0,17.55162002518773,0.0,0.0,0.0,0.0,0.0
189,23158,23158,1.0,1.0,1.0,17.902899999171495,1.0,0.2,0.004048582995951417,0.004048582995951417,0.004048582995951417
193,23176,lesgrf1,0.5,0.5,0.6309297535714575,19.240751047618687,0.0,0.2,0.0,0.043478260869565216,0.043478260869565216
201,24279,24279,1.0,1.0,1.0,13.816668011713773,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
204,24279,24279,1.0,1.0,1.0,13.47126899054274,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
207,24279,blheag1,0.1,0.1,0.2890648263178879,13.342115969862789,0.0,0.0,0.0,0.0,0.002551020408163265
217,24279,24279,1.0,1.0,1.0,17.754326981958002,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
226,24279,24279,1.0,1.0,1.0,13.807724986691028,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
230,24279,24279,1.0,1.0,1.0,16.156628029420972,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
232,24279,24279,1.0,1.0,1.0,13.281841995194554,1.0,0.2,0.002551020408163265,0.002551020408163265,0.002551020408163265
