record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,24279,0.25,0.25,0.43067655807339306,8.234552980866283,0.0,0.2,0.0,0.1111111111111111,0.1111111111111111
7,1161364,244024,0.3333333333333333,0.3333333333333333,0.5,7.479932974092662,0.0,0.2,0.0,0.1111111111111111,0.1111111111111111
16,1176823,22956,0.0,0.0,0.0,7.59814796037972,0.0,0.0,0.0,0.0,0.0
22,1176823,masgna1,0.0,0.0,0.0,7.860978017561138,0.0,0.0,0.0,0.0,0.0
24,1595929,65380,0.125,0.125,0.31546487678572877,6.387014989741147,0.0,0.0,0.0,0.0,0.25
30,209233,brnowl,0.0,0.0,0.0,6.324306013993919,0.0,0.0,0.0,0.0,0.0
32,22930,22973,0.3333333333333333,0.3333333333333333,0.5,6.432274996768683,0.0,0.2,0.0,0.2,0.2
44,22956,244024,0.0,0.0,0.0,6.158097006846219,0.0,0.0,0.0,0.0,0.0
45,22956,244024,0.5,0.5,0.6309297535714575,6.335493992082775,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
47,22956,compot1,0.3333333333333333,0.3333333333333333,0.5,6.38554198667407,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
62,22956,22973,0.2,0.2,0.38685280723454163,6.1669000424444675,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
66,22956,22956,1.0,1.0,1.0,6.240955961402506,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
68,22956,22956,1.0,1.0,1.0,6.323865964077413,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
72,22961,24279,0.1111111111111111,0.1111111111111111,0.3010299956639812,6.127158005256206,0.0,0.0,0.0,0.0,0.2
75,22967,saffin,0.0,0.0,0.0,6.2474170117639005,0.0,0.0,0.0,0.0,0.0
78,22967,compot1,0.0,0.0,0.0,6.269160017836839,0.0,0.0,0.0,0.0,0.0
83,22973,22973,1.0,1.0,1.0,6.043116969522089,1.0,0.2,0.02,0.02,0.02
87,22973,22973,1.0,1.0,1.0,6.134519993793219,1.0,0.2,0.02,0.02,0.02
89,22973,22973,1.0,1.0,1.0,6.352971948217601,1.0,0.2,0.02,0.02,0.02
94,22973,65377,0.5,0.5,0.6309297535714575,6.139196979347616,0.0,0.2,0.0,0.02,0.02
98,22973,65377,0.5,0.5,0.6309297535714575,6.1513560358434916,0.0,0.2,0.0,0.02,0.02
107,22973,22973,1.0,1.0,1.0,6.254206993617117,1.0,0.2,0.02,0.02,0.02
108,22973,22973,1.0,1.0,1.0,6.071651994716376,1.0,0.2,0.02,0.02,0.02
113,22973,22973,1.0,1.0,1.0,6.1777280061505735,1.0,0.2,0.02,0.02,0.02
115,22973,22973,1.0,1.0,1.0,6.27403799444437,1.0,0.2,0.02,0.02,0.02
117,22973,22973,1.0,1.0,1.0,6.0584209859371185,1.0,0.2,0.02,0.02,0.02
123,22973,22973,1.0,1.0,1.0,6.569109042175114,1.0,0.2,0.02,0.02,0.02
124,22973,22973,1.0,1.0,1.0,5.862744990736246,1.0,0.2,0.02,0.02,0.02
127,22973,bbwduc,0.0,0.0,0.0,6.151966983452439,0.0,0.0,0.0,0.0,0.0
151,22983,326272,0.5,0.5,0.6309297535714575,6.221585965249687,0.0,0.2,0.0,0.125,0.125
155,22983,bucmot4,0.2,0.2,0.38685280723454163,6.176355993375182,0.0,0.2,0.0,0.125,0.125
159,22985,compot1,0.0,0.0,0.0,6.028914009220898,0.0,0.0,0.0,0.0,0.0
165,23154,65377,0.0,0.0,0.0,6.269781035371125,0.0,0.0,0.0,0.0,0.0
174,23158,65377,0.1,0.1,0.2890648263178879,6.2051499844528735,0.0,0.0,0.0,0.0,0.05
177,23158,roahaw,0.0,0.0,0.0,6.014632992446423,0.0,0.0,0.0,0.0,0.0
178,23158,244024,0.5,0.5,0.6309297535714575,6.31214800523594,0.0,0.2,0.0,0.05,0.05
186,23158,whtdov,0.0,0.0,0.0,6.290913966950029,0.0,0.0,0.0,0.0,0.0
189,23158,65377,0.25,0.25,0.43067655807339306,6.089349975809455,0.0,0.2,0.0,0.05,0.05
193,23176,24279,0.0,0.0,0.0,6.3009990262798965,0.0,0.0,0.0,0.0,0.0
201,24279,65380,0.5,0.5,0.6309297535714575,6.3829380087554455,0.0,0.2,0.0,0.02702702702702703,0.02702702702702703
204,24279,24279,1.0,1.0,1.0,6.308120966423303,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
207,24279,24279,1.0,1.0,1.0,6.038920022547245,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
217,24279,24279,1.0,1.0,1.0,6.041173997800797,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
226,24279,24279,1.0,1.0,1.0,6.40238804044202,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
230,24279,24279,1.0,1.0,1.0,6.078571954276413,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
232,24279,24279,1.0,1.0,1.0,6.030898017343134,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
