record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,trsowl,0.0,0.0,0.0,7.615345995873213,0.0,0.0,0.0,0.0,0.0
7,1161364,scadov1,0.0,0.0,0.0,7.764048990793526,0.0,0.0,0.0,0.0,0.0
16,1176823,326272,0.125,0.125,0.31546487678572877,7.663141004741192,0.0,0.0,0.0,0.0,0.1
22,1176823,whtdov,0.0,0.0,0.0,7.554932031780481,0.0,0.0,0.0,0.0,0.0
24,1595929,1595929,1.0,1.0,1.0,6.891150958836079,1.0,0.2,0.25,0.25,0.25
30,209233,baymac,0.0,0.0,0.0,6.61017099628225,0.0,0.0,0.0,0.0,0.0
32,22930,22930,1.0,1.0,1.0,6.3097800011746585,1.0,0.2,0.2,0.2,0.2
44,22956,326272,0.25,0.25,0.43067655807339306,6.409806956071407,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
45,22956,22956,1.0,1.0,1.0,6.356623023748398,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
47,22956,22956,1.0,1.0,1.0,6.142708007246256,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
62,22956,74113,0.0,0.0,0.0,6.325864989776164,0.0,0.0,0.0,0.0,0.0
66,22956,22956,1.0,1.0,1.0,6.295638042502105,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
68,22956,22956,1.0,1.0,1.0,6.105680018663406,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
72,22961,23158,0.0,0.0,0.0,6.310371041763574,0.0,0.0,0.0,0.0,0.0
75,22967,22967,1.0,1.0,1.0,6.257358007133007,1.0,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
78,22967,compau,0.5,0.5,0.6309297535714575,6.085778994020075,0.0,0.2,0.0,0.16666666666666666,0.16666666666666666
83,22973,22973,1.0,1.0,1.0,6.198926013894379,1.0,0.2,0.02,0.02,0.02
87,22973,compau,0.0,0.0,0.0,6.309919990599155,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,6.058164988644421,1.0,0.2,0.02,0.02,0.02
94,22973,22973,1.0,1.0,1.0,6.209022016264498,1.0,0.2,0.02,0.02,0.02
98,22973,compot1,0.0,0.0,0.0,6.542004004586488,0.0,0.0,0.0,0.0,0.0
107,22973,compau,0.5,0.5,0.6309297535714575,5.881779012270272,0.0,0.2,0.0,0.02,0.02
108,22973,22973,1.0,1.0,1.0,6.106682005338371,1.0,0.2,0.02,0.02,0.02
113,22973,rubthr1,0.5,0.5,0.6309297535714575,6.133224000222981,0.0,0.2,0.0,0.02,0.02
115,22973,22973,1.0,1.0,1.0,5.997871048748493,1.0,0.2,0.02,0.02,0.02
117,22973,22967,0.5,0.5,0.6309297535714575,6.115033989772201,0.0,0.2,0.0,0.02,0.02
123,22973,22973,1.0,1.0,1.0,6.240271031856537,1.0,0.2,0.02,0.02,0.02
124,22973,22973,1.0,1.0,1.0,6.250987993553281,1.0,0.2,0.02,0.02,0.02
127,22973,yebela1,0.0,0.0,0.0,6.117839016951621,0.0,0.0,0.0,0.0,0.0
151,22983,22983,1.0,1.0,1.0,6.072707998100668,1.0,0.2,0.125,0.125,0.125
155,22983,bucmot4,0.5,0.5,0.6309297535714575,6.481068965513259,0.0,0.2,0.0,0.125,0.125
159,22985,pirfly1,0.0,0.0,0.0,6.240311020519584,0.0,0.0,0.0,0.0,0.0
165,23154,grepot1,0.0,0.0,0.0,6.370324990712106,0.0,0.0,0.0,0.0,0.0
174,23158,24279,0.0,0.0,0.0,6.2047349638305604,0.0,0.0,0.0,0.0,0.0
177,23158,giwrai1,0.0,0.0,0.0,6.221893010661006,0.0,0.0,0.0,0.0,0.0
178,23158,23158,1.0,1.0,1.0,6.101754028350115,1.0,0.2,0.05,0.05,0.05
186,23158,yeofly1,0.0,0.0,0.0,6.275736028328538,0.0,0.0,0.0,0.0,0.0
189,23158,23158,1.0,1.0,1.0,6.202931981533766,1.0,0.2,0.05,0.05,0.05
193,23176,watjac1,0.0,0.0,0.0,6.117818993516266,0.0,0.0,0.0,0.0,0.0
201,24279,24279,1.0,1.0,1.0,6.270349025726318,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
204,24279,24279,1.0,1.0,1.0,6.060820014681667,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
207,24279,244024,0.0,0.0,0.0,6.322520028334111,0.0,0.0,0.0,0.0,0.0
217,24279,24279,1.0,1.0,1.0,6.275927007663995,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
226,24279,24279,1.0,1.0,1.0,6.29945402033627,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
230,24279,24279,1.0,1.0,1.0,6.256656022742391,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
232,24279,24279,1.0,1.0,1.0,6.208390987012535,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
233,24279,24279,1.0,1.0,1.0,6.214721011929214,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
234,24279,326272,0.14285714285714285,0.14285714285714285,0.3333333333333333,6.198996037710458,0.0,0.0,0.0,0.0,0.02702702702702703
244,24285,22961,0.5,0.5,0.6309297535714575,6.531737977638841,0.0,0.2,0.0,0.06666666666666667,0.06666666666666667
246,24285,65380,0.25,0.25,0.43067655807339306,6.0435530031099916,0.0,0.2,0.0,0.06666666666666667,0.06666666666666667
251,24285,24285,1.0,1.0,1.0,6.123388011474162,1.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667
252,24285,24285,1.0,1.0,1.0,6.221160991117358,1.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667
265,24287,24287,1.0,1.0,1.0,6.159272976219654,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
269,24287,24287,1.0,1.0,1.0,6.175388989504427,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
274,24321,1595929,0.0,0.0,0.0,6.190822983626276,0.0,0.0,0.0,0.0,0.0
276,244024,244024,1.0,1.0,1.0,6.2198780360631645,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
278,244024,244024,1.0,1.0,1.0,6.237747031264007,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
280,244024,fepowl,0.5,0.5,0.6309297535714575,6.246990989893675,0.0,0.2,0.0,0.006896551724137931,0.006896551724137931
291,244024,244024,1.0,1.0,1.0,6.190112035255879,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
296,244024,244024,1.0,1.0,1.0,6.25778897665441,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
302,244024,greant1,0.5,0.5,0.6309297535714575,6.262466020416468,0.0,0.2,0.0,0.006896551724137931,0.006896551724137931
309,244024,244024,1.0,1.0,1.0,6.22949399985373,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
319,244024,244024,1.0,1.0,1.0,6.262364971917123,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
320,244024,strcuc1,0.0,0.0,0.0,6.275085033848882,0.0,0.0,0.0,0.0,0.0
325,244024,244024,1.0,1.0,1.0,6.179285992402583,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
327,244024,244024,1.0,1.0,1.0,6.051185016985983,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
329,244024,burowl,0.0,0.0,0.0,6.240611954126507,0.0,0.0,0.0,0.0,0.0
330,244024,banana,0.14285714285714285,0.14285714285714285,0.3333333333333333,6.273271981626749,0.0,0.0,0.0,0.0,0.006896551724137931
334,244024,244024,1.0,1.0,1.0,6.047117989510298,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
354,244024,244024,1.0,1.0,1.0,6.247051991522312,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
355,244024,244024,1.0,1.0,1.0,6.206108024343848,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
359,244024,244024,1.0,1.0,1.0,6.101474049501121,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
