record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,1161364,1.0,1.0,1.0,8.153751958161592,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
7,1161364,1161364,1.0,1.0,1.0,7.595357950776815,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
16,1176823,66971,0.14285714285714285,0.14285714285714285,0.3333333333333333,7.600915967486799,0.0,0.0,0.0,0.0,0.1
22,1176823,rubthr1,0.0,0.0,0.0,7.5869240099564195,0.0,0.0,0.0,0.0,0.0
24,1595929,1595929,1.0,1.0,1.0,6.405040971003473,1.0,0.2,0.25,0.25,0.25
30,209233,socfly1,0.0,0.0,0.0,6.187559978570789,0.0,0.0,0.0,0.0,0.0
32,22930,22930,1.0,1.0,1.0,6.4034879906103015,1.0,0.2,0.2,0.2,0.2
44,22956,326272,0.125,0.125,0.31546487678572877,6.130210997071117,0.0,0.0,0.0,0.0,0.038461538461538464
45,22956,22956,1.0,1.0,1.0,6.071287032682449,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
47,22956,22956,1.0,1.0,1.0,6.2915830058045685,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
62,22956,22956,1.0,1.0,1.0,6.101205013692379,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
66,22956,22956,1.0,1.0,1.0,6.097058008890599,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
68,22956,22956,1.0,1.0,1.0,6.258671986870468,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
72,22961,25092,0.14285714285714285,0.14285714285714285,0.3333333333333333,6.170163047499955,0.0,0.0,0.0,0.0,0.2
75,22967,22967,1.0,1.0,1.0,6.1181309865787625,1.0,0.2,0.16666666666666666,0.16666666666666666,0.16666666666666666
78,22967,compot1,0.2,0.2,0.38685280723454163,6.562076974660158,0.0,0.2,0.0,0.16666666666666666,0.16666666666666666
83,22973,22973,1.0,1.0,1.0,6.12308899872005,1.0,0.2,0.02,0.02,0.02
87,22973,masgna1,0.0,0.0,0.0,6.125322950538248,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,6.23608601745218,1.0,0.2,0.02,0.02,0.02
94,22973,22973,1.0,1.0,1.0,6.117740005720407,1.0,0.2,0.02,0.02,0.02
98,22973,22973,1.0,1.0,1.0,6.116608972661197,1.0,0.2,0.02,0.02,0.02
107,22973,22973,1.0,1.0,1.0,6.253083003684878,1.0,0.2,0.02,0.02,0.02
108,22973,22973,1.0,1.0,1.0,6.074011966120452,1.0,0.2,0.02,0.02,0.02
113,22973,22973,1.0,1.0,1.0,6.073270982597023,1.0,0.2,0.02,0.02,0.02
