record_id,true_label,top1_pred,AP,RR,nDCG,latency_ms,P@1,P@5,R@1,R@5,R@10
6,1161364,1161364,1.0,1.0,1.0,7.610328029841185,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
7,1161364,bncfly,0.3333333333333333,0.3333333333333333,0.5,7.565347012132406,0.0,0.2,0.0,0.1111111111111111,0.1111111111111111
16,1176823,brnowl,0.0,0.0,0.0,6.7803990095853806,0.0,0.0,0.0,0.0,0.0
22,1176823,whtdov,0.1111111111111111,0.1111111111111111,0.3010299956639812,6.5197719959542155,0.0,0.0,0.0,0.0,0.1
24,1595929,trokin,0.2,0.2,0.38685280723454163,6.422579986974597,0.0,0.2,0.0,0.25,0.25
30,209233,brnowl,0.0,0.0,0.0,6.326640024781227,0.0,0.0,0.0,0.0,0.0
32,22930,squcuc1,0.25,0.25,0.43067655807339306,6.262349023018032,0.0,0.2,0.0,0.2,0.2
44,22956,244024,0.2,0.2,0.38685280723454163,6.212070002220571,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
45,22956,244024,0.5,0.5,0.6309297535714575,6.14609697367996,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
47,22956,22956,1.0,1.0,1.0,6.136682000942528,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
62,22956,22973,0.2,0.2,0.38685280723454163,6.388136011082679,0.0,0.2,0.0,0.038461538461538464,0.038461538461538464
66,22956,22956,1.0,1.0,1.0,5.908343999180943,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
68,22956,22956,1.0,1.0,1.0,5.928036000113934,1.0,0.2,0.038461538461538464,0.038461538461538464,0.038461538461538464
72,22961,244024,0.0,0.0,0.0,5.8328069862909615,0.0,0.0,0.0,0.0,0.0
75,22967,saffin,0.3333333333333333,0.3333333333333333,0.5,5.927676043938845,0.0,0.2,0.0,0.16666666666666666,0.16666666666666666
78,22967,compot1,0.1111111111111111,0.1111111111111111,0.3010299956639812,6.002071953844279,0.0,0.0,0.0,0.0,0.16666666666666666
83,22973,22973,1.0,1.0,1.0,6.006798997987062,1.0,0.2,0.02,0.02,0.02
87,22973,brnowl,0.0,0.0,0.0,6.050236988812685,0.0,0.0,0.0,0.0,0.0
89,22973,22973,1.0,1.0,1.0,6.05788902612403,1.0,0.2,0.02,0.02,0.02
94,22973,22973,1.0,1.0,1.0,6.086794019211084,1.0,0.2,0.02,0.02,0.02
98,22973,brnowl,0.0,0.0,0.0,6.148780987132341,0.0,0.0,0.0,0.0,0.0
107,22973,22973,1.0,1.0,1.0,6.132484995760024,1.0,0.2,0.02,0.02,0.02
108,22973,22973,1.0,1.0,1.0,6.023915018886328,1.0,0.2,0.02,0.02,0.02
113,22973,22973,1.0,1.0,1.0,6.0855120536871254,1.0,0.2,0.02,0.02,0.02
115,22973,22973,1.0,1.0,1.0,5.993658967781812,1.0,0.2,0.02,0.02,0.02
117,22973,22973,1.0,1.0,1.0,5.991955986246467,1.0,0.2,0.02,0.02,0.02
123,22973,22973,1.0,1.0,1.0,6.032909033820033,1.0,0.2,0.02,0.02,0.02
124,22973,22973,1.0,1.0,1.0,6.066581991035491,1.0,0.2,0.02,0.02,0.02
127,22973,bbwduc,0.0,0.0,0.0,6.073894037399441,0.0,0.0,0.0,0.0,0.0
151,22983,bucmot4,0.5,0.5,0.6309297535714575,6.031968980096281,0.0,0.2,0.0,0.125,0.125
155,22983,bucmot4,0.5,0.5,0.6309297535714575,6.026159040629864,0.0,0.2,0.0,0.125,0.125
159,22985,compau,0.0,0.0,0.0,6.043375993613154,0.0,0.0,0.0,0.0,0.0
165,23154,compot1,0.0,0.0,0.0,6.204518023878336,0.0,0.0,0.0,0.0,0.0
174,23158,65380,0.25,0.25,0.43067655807339306,6.263661023695022,0.0,0.2,0.0,0.05,0.05
177,23158,23158,1.0,1.0,1.0,6.2599750235676765,1.0,0.2,0.05,0.05,0.05
178,23158,23158,1.0,1.0,1.0,6.104030995629728,1.0,0.2,0.05,0.05,0.05
186,23158,whtdov,0.0,0.0,0.0,6.095728022046387,0.0,0.0,0.0,0.0,0.0
189,23158,23158,1.0,1.0,1.0,6.355464982334524,1.0,0.2,0.05,0.05,0.05
193,23176,brnowl,0.0,0.0,0.0,5.83336700219661,0.0,0.0,0.0,0.0,0.0
201,24279,24279,1.0,1.0,1.0,5.90363796800375,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
204,24279,24279,1.0,1.0,1.0,6.030376011040062,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
207,24279,compot1,0.0,0.0,0.0,5.999247019644827,0.0,0.0,0.0,0.0,0.0
217,24279,24279,1.0,1.0,1.0,6.020019995048642,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
226,24279,24279,1.0,1.0,1.0,6.018167012371123,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
230,24279,24279,1.0,1.0,1.0,6.053541961591691,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
232,24279,24279,1.0,1.0,1.0,5.997274012770504,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
233,24279,24279,1.0,1.0,1.0,6.034411955624819,1.0,0.2,0.02702702702702703,0.02702702702702703,0.02702702702702703
234,24279,326272,0.5,0.5,0.6309297535714575,6.046882015652955,0.0,0.2,0.0,0.02702702702702703,0.02702702702702703
244,24285,24285,1.0,1.0,1.0,6.031257042195648,1.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667
246,24285,toctou1,0.25,0.25,0.43067655807339306,6.020291009917855,0.0,0.2,0.0,0.06666666666666667,0.06666666666666667
251,24285,fotfly,0.2,0.2,0.38685280723454163,5.9925870154984295,0.0,0.2,0.0,0.06666666666666667,0.06666666666666667
252,24285,24285,1.0,1.0,1.0,5.974278028588742,1.0,0.2,0.06666666666666667,0.06666666666666667,0.06666666666666667
265,24287,24287,1.0,1.0,1.0,6.078491976950318,1.0,0.2,0.1111111111111111,0.1111111111111111,0.1111111111111111
269,24287,555146,0.3333333333333333,0.3333333333333333,0.5,6.080074002966285,0.0,0.2,0.0,0.1111111111111111,0.1111111111111111
274,24321,trokin,0.0,0.0,0.0,5.980808986350894,0.0,0.0,0.0,0.0,0.0
276,244024,244024,1.0,1.0,1.0,6.030396034475416,1.0,0.2,0.006896551724137931,0.006896551724137931,0.006896551724137931
